HS_size,HS_Head,house_type,wallMaterial,floor_status,waterSupplyRating,securityConsideration,entryRestrictions,insecurityReports,conduciveEnvironment,distanceTown,amenities.schools,amenities.tertiaryEducation,amenities.healthCenters,amenities.socialHalls,amenities.tradeCenters,amenities.worshipCenters,amenities.other,roadState,Which_means_of_transport_do_you_use,employmentStatus,HS_expenditure,jointIncome,rentPrice,currentIssues.currentIssues_header,currentIssues.State_of_the_economy_nd_employment_market,currentIssues.Food_Security_and_nutrition,currentIssues.Affordable_housing,currentIssues.Access_to_affordable_healthcare,homeOwnershipAspire,NGActions,countyActions,enoughtHousing,stayLength,expectMove,expectMove_HS,supportAHProject
1,female,singleRoom,blockBrick,cemented,4,yes,yes,yes,9,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,somewhatProblem,somewhatProblem,somewhatProblem,somewhatProblem,yes,doMore,doMore,no,5,no,moreThree,yes
1,male,singleRoom,blockBrick,cemented,6,yes,notSure,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,verySerious,fairlySerious,fairlySerious,verySerious,yes,doMore,doingNothing,notSure,9,notSure,moreThree,yes
2,female,singleRoom,blockBrick,cemented,6,yes,notSure,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,none,501_1000,5001_10_000,3500,n/a,somewhatProblem,fairlySerious,somewhatProblem,verySerious,yes,doMore,doingNothing,no,8,no,moreThree,yes
2,male,singleRoom,blockBrick,cemented,6,yes,notSure,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,3500,n/a,somewhatProblem,verySerious,fairlySerious,verySerious,yes,doMore,doMore,no,1,notSure,moreThree,yes
3,male,singleRoom,blockBrick,cemented,5,yes,yes,no,9,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,3500,n/a,verySerious,somewhatProblem,verySerious,verySerious,yes,doMore,doingNothing,notSure,11,no,moreThree,yes
1,female,singleRoom,blockBrick,cemented,4,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,fairlySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doMore,notSure,10,no,moreThree,yes
1,male,singleRoom,blockBrick,cemented,5,yes,notSure,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,below500,10_001_30_000,3500,n/a,verySerious,fairlySerious,verySerious,verySerious,yes,doingNothing,doingNothing,no,12,no,twoThreeYrs,yes
1,female,singleRoom,blockBrick,cemented,6,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,below500,10_001_30_000,3500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,13,no,moreThree,yes
1,female,singleRoom,blockBrick,cemented,6,yes,notSure,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,fairlySerious,fairlySerious,verySerious,verySerious,yes,doingNothing,doingNothing,no,11,no,twoThreeYrs,yes
3,male,doubleRoom,blockBrick,cemented,5,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,notSure,3,no,twoThreeYrs,yes
4,male,doubleRoom,blockBrick,cemented,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,fairlySerious,verySerious,fairlySerious,yes,doMore,doMore,no,5,no,moreThree,yes
3,male,doubleRoom,blockBrick,cemented,5,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,fairlySerious,verySerious,fairlySerious,fairlySerious,yes,doMore,doingNothing,yes,8,no,moreThree,yes
4,male,doubleRoom,blockBrick,cemented,5,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,fairlySerious,somewhatProblem,somewhatProblem,somewhatProblem,yes,doMore,doingNothing,no,8,no,moreThree,yes
5,male,doubleRoom,blockBrick,cemented,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,verySerious,fairlySerious,verySerious,yes,doMore,doMore,notSure,6,no,twoThreeYrs,yes
3,female,doubleRoom,blockBrick,cemented,6,notSure,notSure,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,somewhatProblem,verySerious,fairlySerious,yes,doMore,doingNothing,notSure,5,notSure,twoThreeYrs,yes
3,male,doubleRoom,blockBrick,cemented,5,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doMore,no,7,no,moreThree,yes
1,female,bedsitter,stone,tiled,6,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doingNothing,no,5,no,twoThreeYrs,yes
1,male,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,somewhatProblem,somewhatProblem,fairlySerious,yes,doMore,doMore,notSure,5,no,moreThree,yes
